symbol,date_utc,messages,tmin_utc,tmax_utc,window_minutes,msgs_per_hour,avg_seconds_between
DGXX,2025-11-02,6,2025-11-02T21:17:51Z,2025-11-02T23:28:02Z,130.18,2.765,1562.2
DGXX,2025-11-03,73,2025-11-03T00:26:39Z,2025-11-03T15:58:19Z,931.67,4.701,776.39
DGXX,2025-11-11,43,2025-11-11T16:02:23Z,2025-11-11T23:21:32Z,439.15,5.875,627.36
DGXX,2025-11-12,27,2025-11-12T00:01:51Z,2025-11-12T16:12:54Z,971.05,1.668,2240.88
DGXX,2025-11-25,9,2025-11-25T18:43:06Z,2025-11-25T22:55:41Z,252.58,2.138,1894.38
DGXX,2025-11-26,45,2025-11-26T01:08:53Z,2025-11-26T21:58:44Z,1249.85,2.16,1704.34
DGXX,2025-11-27,2,2025-11-27T08:14:46Z,2025-11-27T18:38:39Z,623.88,0.192,37433.0
DGXX,2025-11-28,15,2025-11-28T02:17:58Z,2025-11-28T20:50:28Z,1112.5,0.809,4767.86
DGXX,2025-11-29,4,2025-11-29T00:07:02Z,2025-11-29T02:03:05Z,116.05,2.068,2321.0
